NOME_SIGEP,NOME_INVENTARIO,,,NOMES
FPSO CAPIXABA,FPSO CAPIXABA,,, ALSUB
FPSO CIDADE DE SANTOS,FPSO CIDADE DE SANTOS,,,
FPSO CIDADE DO RIO DE JANEIRO,FPSO CIDADE DO RIO DE JANEIRO,,,AGR/CABIUNAS
FPSO BRASIL,FPSO-BR,,,ALSUB
FPSO CIDADE DE CARAGUATATUBA,FPSO-CAR,,,ARM/IMBOASSICA
FPSO CIDADE DE ANGRA DOS REIS,FPSO-CID.ANG,,,ATP-NNE/IP
FPSO ESPIRITO SANTO,FPSO-ESP,,,EDIVIT
FPSO CIDADE DE NITEROI,FPSO-NIT,,,FPRJ
FPSO RIO DAS OSTRAS,FPSO-RO,,,FPSO PIRANEMA SPIRIT
FPSO CIDADE DE VITÓRIA,OP-GLF/CVIT,,,FPSO-CID.MAC
PETROBRAS 08,P-08,,,
PETROBRAS 09,P-09,,,FPSO-MLS
PETROBRAS 18,P-18,,,GLF/EDIVIT
PETROBRAS 19,P-19,,,LOEP/LON/EO
PETROBRAS 20,P-20,,,NS-41-BC
PETROBRAS 25,P-25,,,NS-51
PETROBRAS 26,P-26,,,NS-52
PETROBRAS 27,P-27,,,OP-CRP-2
PETROBRAS 31,P-31,,,OP-EN
PETROBRAS 35,P-35,,,OP-GLF/CVIT
PETROBRAS 37,P-37,,,OP-PM
PETROBRAS 40,P-40,,,P-17
PETROBRAS 43,P-43,,,P-32
PETROBRAS 50,P-50,,,P-38
PETROBRAS 51,P-51,,,P-47
PETROBRAS 52,P-52,,,P-59
PETROBRAS 53,P-53,,,P-59
PETROBRAS 54,P-54,,,P-65
PETROBRAS 56,P-56,,,P-65
PETROBRAS 57,P-57,,,PCA2 
PETROBRAS 62,P-62,,,PRA-1
PETROBRAS 63,P-63,,,PT-MARIMBONDO
Petrobras 68,P-68,,,RBC/SMS
PLATAFORMA DE ENCHOVA,PCE-1,,,SCA/ONSHORE
PLATAFORMA DE CHERNE-1,PCH-1,,,SMS/UTGCAB
PLATAFORMA DE CHERNE-2,PCH-2,,,SPO/SCA/P-10-BC
PLATAFORMA DE CARAPEBA-II,PCP-2,,,SS-81-BC
PETROBRAS 07,PETROBRAS 07,,,SUB/ISBM
PETROBRAS 12,PETROBRAS 12,,,UN-BA/PST/DESC/ BASE 61
PETROBRAS 15,PETROBRAS 15,,,US-PO/SCA
PETROBRAS 33,PETROBRAS 33,,,UTGCAB
PETROBRAS 48,PETROBRAS 48,,,
PETROBRAS 55,PETROBRAS 55,,,
PETROBRAS 58,PETROBRAS 58,,,
PLATAFORMA DE GAROUPA,PGP-1,,,
PLATAFORMA DE NAMORADO-1,PNA-1,,,
PLATAFORMA DE NAMORADO-2,PNA-2,,,
PLATAFORMA DE PARGO-1A,PPG-1,,,
PLATAFORMA DE PAMPO-1,PPM-1,,,
ALPHA STAR,,,,
AMARALINA STAR,,,,
ATLANTIC STAR,,,,
BRAVA SATAR,,,,
CAROLINA,,,,
DEEPWATER NAVIGATOR,,,,
DYNAMIC PRODUCER,,,,
ENSCO 6003,,,,
ESPADARTE FPSO,,,,
EstaÃ§Ã£o Coletora de Macau,,,,
EstaÃ§Ã£o de Paru,,,,
EstaÃ§Ã£o MarapÃ© (Dom JoÃ£o Mar),,,,
EstaÃ§Ã£o Pedra Branca,,,,
Estação Coletora de Furado,,,,
Estação Coletora de Macau,,,,
Estação de Paru,,,,
Estação Marapé (Dom João Mar),,,,
Estação Pedra Branca,,,,
Estação Prod. Atalaia (EPA),,,,
FPSO Almirante Barroso,,,,
FPSO ANITA GARIBALDI,,,,
FPSO ANNA NERY,,,,
FPSO ATLANTA'],,,,
FPSO Carioca (MV-30),,,,
FPSO CIDADE DE ANCHIETA,,,,
FPSO Cidade de Campos dos Goytacazes,,,,
FPSO CIDADE DE ILHA BELA,,,,
FPSO CIDADE DE ITAGUAÃ\x8d,,,,
FPSO CIDADE DE ITAGUAÍ,,,,
FPSO CIDADE DE ITAJAÃ\x8d,,,,
FPSO CIDADE DE ITAJAÍ,,,,
FPSO CIDADE DE MANGARATIBA,,,,
FPSO CIDADE DE MARICÁ,,,,
FPSO CIDADE DE MARICÃ\x81,,,,
FPSO CIDADE DE PARATY,,,,
FPSO CIDADE DE SÃ\x83O PAULO,,,,
FPSO CIDADE DE SÃ\x83O VICENTE,,,,
FPSO CIDADE DE SÃO PAULO,,,,
