,feicao_id,name,operador,titularida,categoria,tipo_grupo,tipo,cadastro,sigla_esta,nome_bacia,nome_bloco,sigla_camp,nome_campo,ambiente,ogr_fid,pos_anp,reclassifi,situacao,dat_inicio,dat_termin,dat_conclu,lat_4c,long_4c,latitude,longitude,datum_hori,tipo_coord,direcao,prof_vert,prof_sond,prof_medid,ref_profun,mesa_rotat,cota_altim,lamina_dag,datum_vert,uni_estrat,geo_grup_f,geo_form_f,geo_memb_f,cdpe,agp,pc,pag,p_conven,dur_perfur,p_digitais,p_process,p_espec,a_lateral,sismica,tempo_prof,dados_dire,teste_cabo,teste_form,canhoneio,testemunho,geoquimica,sig_sonda,nome_sonda,at_presal,creation_d,modificati,camada_id,geometry
0,1341508,9-AB-109DP-RJS,Petrobras,Público,Especial,especial,Explotatório,74281023975,RJ,Campos,AB,AB,ALBACORA,M,24773,S,ABANDONADO POR OBJETIVO FORA DE PREVISÃO,ABANDONADO PERMANENTEMENTE,11/06/2009,19/06/2009,19/07/2009,,,,,SIRGAS2000,Definitiva,Direcional,2387,3058,3058,MR,27,433,433,NM,,,,,Existe,,,,,Existe,,,,,,,Existe,,,,,,SS-52,OCEAN WHITTINGTON,,2025-03-10 00:00:00,2025-03-10 00:00:00,12,POINT (-39.9485 -22.0624)
1,1332458,9-AB-131D-RJS,Petrobras,Público,Especial,especial,Explotatório,74281028606,RJ,Campos,,AB,ALBACORA,M,24577,S,OBSERVAÇÃO,ABANDONADO PERMANENTEMENTE,04/12/2015,05/01/2016,13/01/2016,,,,,SIRGAS2000,Definitiva,Direcional,2718.34,3153,3153,MR,19,982,982,NM,,Campos,Carapebus,,Existe,,,,,Existe,,,,,,,Existe,Existe,,,,,SS-71,Noble Dave Beard,N,2025-03-10 00:00:00,2025-03-10 00:00:00,12,POINT (-39.879 -22.0614)
2,1341652,7-AB-53DA-RJS,Petrobras,Público,Desenvolvimento,producao,Explotatório,742810216200,RJ,Campos,AB,AB,ALBACORA,M,24613,N,PRODUTOR COMERCIAL DE PETRÓLEO,ABANDONADO PERMANENTEMENTE,24/05/1996,21/06/1996,21/06/1996,,,,,SIRGAS2000,Definitiva,Direcional,0,3548,0,MR,25,441,441,NM,,,,,,,Existe,,,,Existe,,,,,,,,,,,,SS-22,PETROBRAS XVII,,2025-03-10 00:00:00,2025-03-10 00:00:00,12,POINT (-39.9341 -22.1303)
3,1342622,7-AB-28D-RJS,Petrobras,Público,Desenvolvimento,producao,Explotatório,742810201900,RJ,Campos,AB,AB,ALBACORA,M,24630,N,PRODUTOR COMERCIAL DE PETRÓLEO,ABANDONADO TEMPORARIAMENTE SEM MONITORAMENTO,05/07/1993,24/07/1993,24/07/1993,,,,,SIRGAS2000,Definitiva,Direcional,0,2982,0,MR,30,475,475,NM,,,,,,,Existe,,,,Existe,,,,,,,,,,,,SS42,,,2025-03-10 00:00:00,2025-03-10 00:00:00,12,POINT (-39.9279 -22.1085)
4,1342623,7-AB-43D-RJS,Petrobras,Público,Desenvolvimento,producao,Explotatório,742810208100,RJ,Campos,AB,AB,ALBACORA,M,24832,N,PRODUTOR COMERCIAL DE PETRÓLEO,ABANDONADO PERMANENTEMENTE,29/05/1994,10/06/1994,10/06/1994,,,,,SIRGAS2000,Definitiva,Direcional,0,3276,0,MR,22,538,538,NM,,,,,,,Existe,,,,Existe,,,,,,,,,,,,SS40,,,2025-03-10 00:00:00,2025-03-10 00:00:00,12,POINT (-39.9251 -22.1432)
5,1342922,7-AB-11D-RJS,Petrobras,Público,Desenvolvimento,producao,Explotatório,742810190900,RJ,Campos,AB,AB,ALBACORA,M,24636,N,ABANDONADO POR ACIDENTE MECÂNICO,ABANDONADO PERMANENTEMENTE,19/12/1991,01/01/1992,01/01/1992,,,,,SIRGAS2000,Definitiva,Direcional,0,1284,0,MR,28,597,597,NM,,,,,,,,,,,,,,,,,,,,,,,SS36,,,2025-03-10 00:00:00,2025-03-10 00:00:00,12,POINT (-39.9143 -22.1008)
6,1343602,7-AB-64H-RJS,Petrobras,Público,Desenvolvimento,producao,Explotatório,74281019039,RJ,Campos,AB,AB,ALBACORA,M,25142,S,,ABANDONADO PERMANENTEMENTE,05/10/2000,00/01/1900,19/12/2000,,,,,SIRGAS2000,Definitiva,Horizontal,0,3890,3890,MR,25,290,290,NM,,,,,,,,,,,Existe,,,,,,Existe,,,,,,SS-22,PETROBRAS XVII,,2025-03-10 00:00:00,2025-03-10 00:00:00,12,POINT (-40.0011 -22.1336)
7,1343708,7-AB-13H-RJS,Petrobras,Público,Desenvolvimento,producao,Explotatório,742810191200,RJ,Campos,AB,AB,ALBACORA,M,24744,N,ABANDONADO POR ACIDENTE MECÂNICO,ABANDONADO PERMANENTEMENTE,27/12/1991,01/01/1992,01/01/1992,,,,,SIRGAS2000,Definitiva,Horizontal,0,665,0,MR,25,290,290,NM,,,,,,,,,,,,,,,,,,,,,,,SS-22,PETROBRAS XVII,,2025-03-10 00:00:00,2025-03-10 00:00:00,12,POINT (-39.9889 -22.1382)
8,1343851,3-AB-1A-RJS,Petrobras,Público,Extensão,exploratorio,Exploratório,742810149000,RJ,Campos,AB,AB,ALBACORA,M,24764,N,SECO SEM INDÍCIOS,ABANDONADO PERMANENTEMENTE,09/03/1986,04/04/1986,04/04/1986,,,,,SIRGAS2000,Definitiva,Vertical,0,3130,0,MR,10,423,423,NM,,,,,,Existe,Existe,,,,Existe,,,,Existe,Existe,,,,,,Existe,NS-5,,,2025-03-10 00:00:00,2025-03-10 00:00:00,12,POINT (-39.9368 -22.1039)
9,1343967,3-RJS-329-RJ,Petrobras,Público,Extensão,exploratorio,Exploratório,742810136700,RJ,Campos,AB,AB,ALBACORA,M,25143,N,ABANDONADO POR ACIDENTE MECÂNICO,ABANDONADO PERMANENTEMENTE,21/09/1985,21/09/1985,21/09/1985,,,,,SIRGAS2000,Definitiva,Vertical,0,372,0,MR,25,277,277,NM,,,,,,,,,,,,,,,,,,,,,,,P-16,PETROBRAS XVI,,2025-03-10 00:00:00,2025-03-10 00:00:00,12,POINT (-39.988 -22.1211)
10,1343968,3-RJS-335-RJ,Petrobras,Público,Extensão,exploratorio,Exploratório,742810141000,RJ,Campos,AB,AB,ALBACORA,M,24830,N,ABANDONADO POR ACIDENTE MECÂNICO,ABANDONADO PERMANENTEMENTE,15/11/1985,07/12/1985,07/12/1985,,,,,SIRGAS2000,Definitiva,Vertical,0,1220,0,MR,13,644,644,NM,,,,,,,,,,,,,,,,,,,,,,,NS-7,,,2025-03-10 00:00:00,2025-03-10 00:00:00,12,POINT (-39.9177 -22.1587)
11,1343969,3-RJS-333-RJS,Petrobras,Público,Extensão,exploratorio,Exploratório,742810141100,RJ,Campos,AB,AB,ALBACORA,M,24622,N,ABANDONADO POR ACIDENTE MECÂNICO,ABANDONADO PERMANENTEMENTE,16/11/1985,02/12/1985,02/12/1985,,,,,SIRGAS2000,Definitiva,Vertical,0,1500,0,MR,12,940,940,NM,,,,,,,,,,,,,,,,,,,,,,,NS-09,S. C. LANCER,,2025-03-10 00:00:00,2025-03-10 00:00:00,12,POINT (-39.881 -22.1256)
12,1343970,3-RJS-333A-RJS,Petrobras,Público,Extensão,exploratorio,Exploratório,742810142400,RJ,Campos,AB,AB,ALBACORA,M,24623,N,SECO SEM INDÍCIOS,ABANDONADO PERMANENTEMENTE,07/12/1985,03/02/1986,03/02/1986,,,,,SIRGAS2000,Definitiva,Vertical,0,3621,0,MR,12,940,940,NM,,,,,,Existe,Existe,,,,Existe,,,,Existe,Existe,,,,,,,NS-09,S. C. LANCER,,2025-03-10 00:00:00,2025-03-10 00:00:00,12,POINT (-39.881 -22.1255)
13,1343972,4-RJS-330-RJ,Petrobras,Público,Pioneiro Adjacente,exploratorio,Exploratório,742810143200,RJ,Campos,AB,AB,ALBACORA,M,24800,N,ABANDONADO POR ACIDENTE MECÂNICO,ABANDONADO PERMANENTEMENTE,12/12/1985,12/12/1985,12/12/1985,,,,,SIRGAS2000,Definitiva,Vertical,0,422,0,MR,25,325,325,NM,,,,,,,,,,,,,,,,,,,,,,,P-16,PETROBRAS XVI,,2025-03-10 00:00:00,2025-03-10 00:00:00,12,POINT (-39.9699 -22.1505)
14,1343973,3-RJS-343A-RJ,Petrobras,Público,Extensão,exploratorio,Exploratório,742810147000,RJ,Campos,AB,AB,ALBACORA,M,25050,N,ABANDONADO POR ACIDENTE MECÂNICO,ABANDONADO PERMANENTEMENTE,09/02/1986,10/02/1986,10/02/1986,,,,,SIRGAS2000,Definitiva,Vertical,0,351,0,MR,27,250,250,NM,,,,,,,,,,,,,,,,,,,,,,,SS-16,PETROBRAS X,,2025-03-10 00:00:00,2025-03-10 00:00:00,12,POINT (-40.0045 -22.1516)
